,n_components,alpha,reconstruction error,log_alpha
52,3,0.1,1.1187000263272573,-2.3025850929940455
53,3,0.1,0.5501962673719204,-2.3025850929940455
54,3,0.1,0.8811949612657619,-2.3025850929940455
55,3,0.1,1.246590973100896,-2.3025850929940455
56,3,0.1,0.9766685597308368,-2.3025850929940455
57,3,0.1,0.7144616797931689,-2.3025850929940455
58,3,0.1,0.6853462632761849,-2.3025850929940455
59,3,0.1,1.0868759936176726,-2.3025850929940455
60,3,0.1,1.1106097940199882,-2.3025850929940455
61,3,0.1,0.4202731487540261,-2.3025850929940455
62,3,0.1,0.7651179165337987,-2.3025850929940455
63,3,0.1,1.0698757541829311,-2.3025850929940455
64,3,0.1,1.0714274659358898,-2.3025850929940455
65,3,0.1,0.7598032296543319,-2.3025850929940455
66,4,0.1,0.3953184657771983,-2.3025850929940455
67,4,0.1,0.523266596722,-2.3025850929940455
68,4,0.1,0.6578726837724785,-2.3025850929940455
69,4,0.1,0.4567871788478785,-2.3025850929940455
70,4,0.1,0.5436105419557469,-2.3025850929940455
71,4,0.1,0.6946994835204403,-2.3025850929940455
72,4,0.1,0.8822009971276282,-2.3025850929940455
73,4,0.1,0.7598025214084002,-2.3025850929940455
74,4,0.1,0.8689328063203287,-2.3025850929940455
75,4,0.1,0.5403337944522603,-2.3025850929940455
76,4,0.1,0.5343353778094945,-2.3025850929940455
77,4,0.1,0.5177072845896178,-2.3025850929940455
78,4,0.1,0.9165853909906919,-2.3025850929940455
79,4,0.1,0.7123554334223118,-2.3025850929940455
80,4,0.1,0.6811499681848912,-2.3025850929940455
81,4,0.1,0.9702524519570699,-2.3025850929940455
82,4,0.1,1.0001930834100978,-2.3025850929940455
83,4,0.1,0.41878095289514194,-2.3025850929940455
84,4,0.1,0.7431376385993173,-2.3025850929940455
85,4,0.1,0.8006446512704254,-2.3025850929940455
86,4,0.1,0.7442214424698731,-2.3025850929940455
87,4,0.1,0.734696867931224,-2.3025850929940455
88,5,0.1,0.3909966047678529,-2.3025850929940455
89,5,0.1,0.47857019087119834,-2.3025850929940455
90,5,0.1,0.6363283517902492,-2.3025850929940455
91,5,0.1,0.45530267027438825,-2.3025850929940455
92,5,0.1,0.4695236220981659,-2.3025850929940455
93,5,0.1,0.5692838576441585,-2.3025850929940455
94,5,0.1,0.6796863325761631,-2.3025850929940455
95,5,0.1,0.6955003215485561,-2.3025850929940455
96,5,0.1,0.8195921874816715,-2.3025850929940455
97,5,0.1,0.5018028880847695,-2.3025850929940455
98,5,0.1,0.5068023088986794,-2.3025850929940455
99,5,0.1,0.5132430853163561,-2.3025850929940455
100,5,0.1,0.8349038993981925,-2.3025850929940455
101,5,0.1,0.5736192349963688,-2.3025850929940455
102,5,0.1,0.5593107322765805,-2.3025850929940455
103,5,0.1,0.576387305615217,-2.3025850929940455
104,5,0.1,0.4294232400176248,-2.3025850929940455
105,5,0.1,0.3558498901762166,-2.3025850929940455
106,5,0.1,0.632386718963921,-2.3025850929940455
107,5,0.1,0.7001207426195551,-2.3025850929940455
108,5,0.1,0.6331516045815956,-2.3025850929940455
109,5,0.1,0.6911888905820879,-2.3025850929940455
110,6,0.1,0.3791935929779744,-2.3025850929940455
111,6,0.1,0.43709725511467556,-2.3025850929940455
112,6,0.1,0.4594084703479934,-2.3025850929940455
113,6,0.1,0.4544506608353943,-2.3025850929940455
114,6,0.1,0.38288212662271326,-2.3025850929940455
115,6,0.1,0.5478467560585871,-2.3025850929940455
116,6,0.1,0.6695110657631145,-2.3025850929940455
117,6,0.1,0.5767986699373563,-2.3025850929940455
118,6,0.1,0.6614289497202732,-2.3025850929940455
119,6,0.1,0.49597552421546376,-2.3025850929940455
120,6,0.1,0.46818172377877965,-2.3025850929940455
121,6,0.1,0.5059116094780441,-2.3025850929940455
122,6,0.1,0.45648379568692254,-2.3025850929940455
123,6,0.1,0.46655498420751723,-2.3025850929940455
124,6,0.1,0.520346226348207,-2.3025850929940455
125,6,0.1,0.5657606160197175,-2.3025850929940455
126,6,0.1,0.38340482225640865,-2.3025850929940455
127,6,0.1,0.3414339263021534,-2.3025850929940455
128,6,0.1,0.632955676086498,-2.3025850929940455
129,6,0.1,0.6748575424755592,-2.3025850929940455
130,6,0.1,0.6201074031037367,-2.3025850929940455
131,6,0.1,0.6256843593607394,-2.3025850929940455
132,7,0.1,0.3890632307136596,-2.3025850929940455
133,7,0.1,0.43665801644917607,-2.3025850929940455
134,7,0.1,0.44662399213126136,-2.3025850929940455
135,7,0.1,0.44937099570611494,-2.3025850929940455
136,7,0.1,0.3708908686609233,-2.3025850929940455
137,7,0.1,0.5311262880275761,-2.3025850929940455
138,7,0.1,0.5566009173137227,-2.3025850929940455
139,7,0.1,0.544893403617599,-2.3025850929940455
140,7,0.1,0.6332523200472794,-2.3025850929940455
141,7,0.1,0.48572609004526995,-2.3025850929940455
142,7,0.1,0.43351614835302915,-2.3025850929940455
143,7,0.1,0.4941231793839228,-2.3025850929940455
144,7,0.1,0.44792288491122395,-2.3025850929940455
145,7,0.1,0.4602027996276283,-2.3025850929940455
146,7,0.1,0.5157490047861112,-2.3025850929940455
147,7,0.1,0.546009113918991,-2.3025850929940455
148,7,0.1,0.3823276753235383,-2.3025850929940455
149,7,0.1,0.32279097326653067,-2.3025850929940455
150,7,0.1,0.5152523310780263,-2.3025850929940455
151,7,0.1,0.4856279849233908,-2.3025850929940455
152,7,0.1,0.5455151774861461,-2.3025850929940455
